"Estimations de la population selon l'âge et le genre, Québec, 1?? juillet 1971 à 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Population selon le groupe d'âge et le genre (n),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Âge et genre,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022?,2023?,2024?
,,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n,n
Total (Genre),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hommes+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,3059588,3076348,3094686,3121117,3150965,3182546,3196403,3195926,3205059,3221006,3237077,3250827,3260204,3273066,3289025,3308452,3346723,3372458,3416367,3449895,3481065,3501166,3524420,3542248,3555157,3568418,3585375,3593481,3607814,3626115,3647441,3673089,3697735,3725044,3750313,3777919,3808563,3843517,3887303,3931892,3971226,4002236,4030207,4051351,4067161,4094059,4129746,4180331,4233549,4271282,4282656,4336247,4435951,4552679
,0-4 ans,248588,237027,231479,228726,228758,233050,234930,237418,241280,243875,245431,244815,241596,237810,230913,223967,220973,220070,221629,226505,233108,239961,244788,245285,240591,234177,226933,218453,209980,203153,196592,192207,190431,191006,191199,193286,197716,204348,212086,218426,222725,225693,227741,227256,226092,225864,225830,225568,224588,223459,219044,218646,217666,215749
,5-9 ans,326026,311907,292934,276064,261633,253025,243953,236706,231293,229343,229013,231679,235268,239448,242926,245201,246016,243856,242014,237056,232597,228773,227299,227065,230135,235642,240326,244416,244964,241266,235404,230073,223011,215765,209712,204009,199025,196455,196235,196187,199033,204046,210619,217109,223103,227630,231996,236979,239322,240441,239912,240164,241081,243062
,10-14 ans,344604,344327,342683,338920,333713,321570,309288,291302,273609,258081,247909,239826,234128,229310,227700,227520,232270,237598,243303,247458,251067,251912,250133,247594,241811,236359,231362,229021,228207,231342,236798,243484,249264,251402,248830,243495,236730,228822,220920,214275,208216,204647,202945,202729,202390,205148,210534,218890,227712,236076,240602,244857,250407,254413
,15-19 ans,322124,330194,336737,340858,342560,345214,342926,339797,336752,332846,322150,308157,290476,273190,258360,249206,241672,237289,235361,236158,238167,241312,245622,250453,253955,255893,256139,253945,251009,245490,240317,236986,234530,234424,237801,244008,252325,257853,259064,255587,249578,243539,236795,229881,224647,220260,215878,214271,216252,218036,218660,225927,235445,246592
,20-24 ans,285684,289133,294985,304817,315832,322725,326852,329604,332447,335641,339362,336833,334931,333153,330326,320799,309539,291566,277577,264589,256261,248059,243115,239232,238485,239828,243839,248072,254280,260512,264702,265090,263870,262793,259447,255860,250824,248533,250886,256924,264035,269300,273220,273459,270175,266942,263786,260563,259990,257878,248260,248761,256438,268775
,25-29 ans,250372,259460,268432,277109,286538,293861,295400,295607,298164,302400,304868,312046,318576,323170,326590,331441,335111,334652,336367,332193,318858,306092,291062,275916,262229,253744,247733,242033,239540,239720,242829,248507,254484,260402,265148,268983,271518,271547,272580,271292,267930,263533,261217,259677,261024,266588,276098,285854,292654,293207,287925,286930,296632,307611
,30-34 ans,197577,207217,216581,227946,238742,249652,260947,266273,272029,277158,280429,281816,283932,288420,295185,301641,312956,321203,329750,332519,335742,334428,333260,331181,327352,317509,306246,289469,275190,263445,257142,252655,250417,249308,249808,251759,256747,263454,271575,279810,286738,288742,287244,284044,277027,271248,268386,270244,273713,279151,285163,296530,316460,335478
,35-39 ans,185642,182050,181335,183910,188075,194250,202613,211815,220115,229164,237753,248736,256356,263584,269437,274335,278679,283277,290960,298736,304735,312222,321003,325812,328348,331476,331310,329549,328338,325665,317176,307770,294924,282775,271885,265114,259910,258106,258099,260993,264491,270084,275951,281244,284594,287501,290343,293268,295144,292345,287517,286723,295673,309552
,40-44 ans,181917,183994,184136,183765,181940,180858,177802,175630,178103,181768,188022,194821,203671,212158,222542,233350,245203,253802,263165,270136,276529,278818,282167,287781,294823,300153,307646,314771,319362,322650,327666,328535,329269,330231,329824,322910,311822,298059,285589,275860,271137,266776,263897,261767,262074,264004,269656,278222,287051,293931,299138,303792,310739,319425
,45-49 ans,169328,169688,171760,172716,174267,175697,177501,177203,175622,172955,171287,168550,167334,169670,172548,178237,187682,198949,209190,220234,230416,241021,249611,257629,263811,268432,271451,274835,280315,287214,292777,301449,309937,315400,319017,323728,326191,328036,328881,327203,318663,309824,297776,285348,274494,268543,263963,262576,262886,265065,267684,275393,286219,299096
,50-54 ans,139795,145292,149564,154699,158232,160751,161493,162948,163844,165351,166766,168516,168458,166926,164783,163646,162010,162193,166360,170922,178015,185812,195173,203451,212771,221531,232859,241384,249630,256438,262180,264931,268874,274985,282988,289337,299236,308719,315792,321139,326930,327579,327340,326738,324765,316975,307025,294807,283114,272879,267206,264169,264470,267318
,55-59 ans,124315,125082,125696,125248,127130,130628,135454,139224,143580,146956,149397,150291,152462,153778,155574,157215,159991,161220,161438,160980,160913,158192,157853,160819,164149,169974,177856,186860,195518,205337,214623,225672,234127,241879,248019,253709,258740,265140,272845,282312,289921,298405,307068,312618,316431,321107,321968,322518,322466,320523,311972,302513,291300,281461
,60-64 ans,100480,103099,105844,108970,111039,111967,112592,112765,112446,114268,117434,122062,125624,130023,133206,135833,138403,141755,144221,146691,148756,151121,151979,151663,150566,149753,147859,148130,151403,154978,161238,169308,178522,187760,197931,206736,217669,226880,236547,245068,252861,255942,260059,265987,273798,280161,288230,296750,302861,307053,312043,313804,314664,315225
,65-69 ans,74670,77166,79131,80935,83283,86226,88405,90129,92557,94035,95497,96422,96805,96902,98902,102001,107078,111098,116150,120420,123648,124748,127165,128559,130243,131955,135064,136589,136889,136735,136912,135670,136421,139867,143649,150479,158582,167404,176191,186314,195858,207364,216424,224908,231339,237524,240843,244851,250607,257920,264249,273417,282587,289400
,70-74 ans,50023,51309,53091,54969,56753,58681,60440,61800,63347,65394,67500,69083,71023,73247,74888,76121,77522,78751,79789,82282,85740,89749,92766,96271,99344,101535,103494,106246,108541,111194,113596,116884,118676,119615,120217,121155,120645,121969,125633,129796,136298,143436,151664,159985,169145,178010,188497,197075,205196,211305,216725,220329,224681,231044
,75-79 ans,31593,32208,32741,33589,34136,35192,35945,37212,38321,39693,41140,42725,43937,45304,46975,48552,50147,52029,54182,56024,57317,58035,58847,59229,60769,63270,66852,69835,73215,76576,79700,82144,85230,87477,89956,92511,95780,98110,99535,100464,101377,101993,103634,107204,110771,116264,122843,130253,137752,146030,153853,163751,171767,179357
,80-84 ans,17180,17349,17344,17395,17797,18319,18898,19325,19998,20224,20823,21637,22431,23324,24312,25175,26550,27555,28638,29891,31243,32291,33431,34556,35437,36159,36766,37410,38115,40119,42506,45663,48555,51563,54868,58033,59590,61992,64223,66882,69336,72217,74482,75938,76836,78003,78401,79737,82476,85377,90105,95719,102412,108945
,85-89 ans,7252,7342,7587,7748,7643,7734,7774,7839,8098,8502,9014,9319,9573,9871,9948,10198,10750,11266,11688,12316,12841,13307,13728,14246,14781,15443,15857,16496,17234,17992,18811,19277,19965,20789,22085,24453,26702,28604,30464,32399,34024,35745,37608,39806,41703,43926,45829,47219,48091,48280,48997,49753,51205,53337
,90-94 ans,2418,2504,2626,2733,2894,3146,3190,3329,3454,3352,3282,3493,3623,3778,3910,4014,4171,4329,4585,4785,5112,5313,5418,5506,5557,5585,5783,5967,6084,5235,5392,5677,6059,6380,6608,6961,7355,7890,8434,9078,10093,11292,12348,13276,14094,15286,16224,17025,17836,18455,19513,20563,21184,21651
,95-99 ans,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,947,972,1009,1071,1119,1224,1282,1328,1444,1567,1716,1797,1874,1958,2172,2424,2820,3124,3354,3540,3538,3750,4124,4502,4745
,100 ans et plus,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,107,108,98,98,104,97,111,128,152,157,167,185,205,217,205,235,255,292,307,298,333,338,382,419,443
,Âge médian (ans),25.1,25.5,25.9,26.2,26.6,26.9,27.3,27.7,28.1,28.4,28.8,29.2,29.6,30,30.4,30.9,31.3,31.8,32.3,32.7,33.1,33.5,33.9,34.3,34.7,35.2,35.6,36.1,36.5,37,37.4,37.9,38.3,38.6,39,39.3,39.6,39.9,40,40.2,40.4,40.6,40.8,41,41.2,41.4,41.5,41.5,41.5,41.6,41.9,42,41.8,41.5
,Âge moyen (ans),29.3,29.6,29.9,30.2,30.4,30.6,30.9,31.1,31.4,31.6,31.9,32.1,32.4,32.7,32.9,33.2,33.5,33.8,34.1,34.3,34.5,34.7,34.9,35.1,35.4,35.6,35.9,36.2,36.5,36.9,37.2,37.5,37.8,38.1,38.4,38.7,39,39.2,39.4,39.7,39.9,40.1,40.4,40.6,40.8,41,41.2,41.3,41.4,41.5,41.8,41.9,41.9,41.9
Femmes+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,3077717,3097868,3118463,3147454,3179338,3214215,3236730,3244533,3260937,3284991,3310130,3329804,3342772,3358154,3376777,3399718,3435261,3464619,3508761,3547091,3586331,3608844,3632117,3650155,3664062,3678479,3689236,3702454,3715436,3730836,3748573,3768216,3787753,3810439,3831154,3853982,3883837,3918097,3956612,3997587,4033510,4057516,4078618,4096184,4108582,4130977,4163086,4206620,4249637,4279813,4289364,4336937,4412069,4503365
,0-4 ans,237273,226432,219350,216834,216851,221111,222740,225099,228029,230275,232290,231200,228370,224022,218085,212887,210887,209639,211813,217016,223783,229733,233905,234150,230247,224984,216646,208356,200327,192656,185320,181815,180208,181250,181587,183767,188139,195096,202566,209524,213912,216766,217414,217257,216668,216760,215762,215610,213631,211046,206505,206296,205408,204384
,5-9 ans,311452,298030,279799,263080,249333,240659,232077,224155,219558,217761,217176,220022,223396,227040,229415,231393,231706,230710,228624,224604,221363,218272,216638,216924,220142,225437,230244,234166,234363,230667,225312,219212,212357,205620,199355,193225,189064,186634,186792,186987,190779,195813,202662,209167,215318,219415,223160,226586,228602,229689,228267,227728,228901,230117
,10-14 ans,331671,330184,328948,324978,318518,306511,295166,277713,260731,245662,235801,227942,221698,218151,217159,217219,221414,225830,230825,234468,238245,238303,237163,234271,229074,224197,219868,217413,217151,220864,226186,232537,237692,239448,237560,232891,226882,219782,212444,205320,198347,195011,193403,193844,193984,197586,202598,210427,218631,226418,230010,234302,238846,242549
,15-19 ans,312913,319804,325694,330116,332085,335219,331985,329179,324891,319949,308906,294387,276617,259614,245009,236436,229688,225149,224195,225058,226717,229954,234052,238287,241123,243075,242040,240424,237187,231951,227188,224615,223076,223387,227534,233910,242132,249109,252389,251047,245827,236060,227508,219525,213929,209725,207265,206685,208785,209871,211061,217427,226117,235650
,20-24 ans,287490,287602,292311,299992,310638,316676,321752,324090,326945,329995,334145,330137,326031,321305,316049,305473,293640,277314,264703,252208,245471,238220,232779,230385,230470,230629,233329,236805,241435,246135,250907,251148,250095,249055,246086,242600,239663,238313,240465,247330,255935,260417,262688,261085,255809,251039,248317,245823,244114,241419,233516,235650,240826,249895
,25-29 ans,244043,257296,264974,273754,280007,286101,288809,290982,294234,299842,302023,309990,316017,319416,320942,324049,323980,323556,323294,318742,308172,296049,281051,266486,253075,244906,237102,231953,229300,229188,230599,235711,241470,248226,253586,259102,260805,261286,261660,260872,258102,254677,252152,249931,249569,252507,260969,269242,274579,274378,269178,267323,272944,280305
,30-34 ans,192003,199485,210177,220414,231951,243075,254447,260438,267282,273268,278518,280262,282893,287439,295187,300778,310032,316799,322779,326128,330847,328160,326973,322653,317078,306360,294550,279524,265389,252580,245850,240961,237588,236608,236835,237900,244816,253108,261403,269310,276168,277520,276686,274302,268747,263271,261146,262577,264953,269584,274604,282840,296210,309281
,35-39 ans,182195,180042,178149,180508,183920,189254,196797,206274,215086,223923,232991,244656,253046,260773,266384,271489,276001,282045,289557,297957,303073,310618,317873,322399,324785,327883,325531,324122,320525,315955,306118,296491,283342,271096,259568,253065,248464,245983,246046,249322,253836,259926,266524,272347,276467,280117,282107,284806,285746,284120,279112,278574,282755,291735
,40-44 ans,182269,182889,183013,182316,180788,179543,177324,174476,176497,179951,185593,192234,201188,210082,219708,230288,242430,251672,261559,269284,276646,279357,283561,288475,295194,299903,307474,314331,318834,321955,325662,324671,324406,322599,320014,310888,300361,287238,275496,265217,260555,256804,254078,253281,254278,256629,262059,269863,277463,283940,288834,292545,297495,303053
,45-49 ans,173625,174792,176641,177230,178320,178933,179587,179220,177525,175146,173345,171332,170142,172172,175160,180315,188404,198907,209228,220226,231143,242326,251422,260145,266417,271738,274683,278819,284553,292141,297430,305437,312682,317323,320029,323314,323442,323697,321930,318780,309509,301295,290150,278908,268919,263639,258126,254825,254615,256158,258412,265705,275702,286960
,50-54 ans,146778,152393,157355,162914,167433,170344,171128,171818,171891,172993,174053,175328,174925,173656,171619,170146,168432,167640,170755,174569,180772,188238,197558,206486,216240,225909,237258,246511,255215,262054,268251,271301,275604,281733,289869,295817,302460,308745,313478,317250,322239,323128,323428,321962,319585,311840,301609,288843,276572,265439,259688,256529,255891,258993
,55-59 ans,131124,132704,134362,135381,137522,142202,147858,152647,157542,161296,163573,164541,166509,167218,169018,170469,172165,172264,171583,170188,168700,166087,165538,168037,171113,176391,183975,193057,202196,211969,221743,233306,242583,250832,257032,262579,265387,269279,274228,280982,285868,295096,304219,311145,316120,321012,320951,320538,318311,314580,305288,296322,285425,275930
,60-64 ans,109569,112662,116023,119804,123272,124992,126750,128251,129235,131594,135909,141342,146084,151041,154546,157080,159295,161975,163401,165172,166162,167065,166631,165385,163513,162030,160236,160283,162902,166244,171770,178942,187737,197157,207757,217978,228272,236329,243965,249961,255208,257655,261820,267945,276310,283128,291567,300037,306629,311038,315127,315451,315608,314491
,65-69 ans,87895,91128,93709,96080,98768,102592,105724,108519,111603,114760,117242,118952,120118,121379,123956,128438,134093,139001,144734,148873,151614,152082,153202,153509,154284,155104,156883,157162,156798,155879,155010,152780,152397,154367,156980,162413,170917,180266,189745,199286,207862,217575,225817,233494,239450,245277,248449,252591,258688,266592,272991,282680,291901,299322
